variable,count
backscatter_intensity_2111n_a,1
backscatter_intensity_2112_a,1
backscatter_intensity_2152_a,1
backscatter_intensity_2211_a,1
backscatter_intensity_2231tn_a,1
backscatter_intensity_2241tn_a,1
backscatter_intensity_2291_a,1
backscatter_intensity_2322tn_a,1
backscatter_intensity_2341tn_a,1
backscatter_intensity_2371_a,1
backscatter_intensity_2481_aa,1
backscatter_intensity_2511ds_a,1
backscatter_intensity_2571_aa,1
backscatter_intensity_2583_aa,1
backscatter_intensity_2631_a,1
backscatter_intensity_2651_a,1
backscatter_intensity_2731_aa,1
backscatter_intensity_5952cp_a,1
backscatter_intensity_5952obs_a_d2,1
backscatter_intensity_5952tcp_a,1
backscatter_intensity_5972obs_a_d2,1
backscatter_intensity_5972tc_a,1
backscatter_intensity_5992obs_a_d2,1
backscatter_intensity_5992tcp_a,1
backscatter_intensity_6012obs_a_d2,1
backscatter_intensity_6012tcp_a,1
backscatter_intensity_6032obs_a_d2,1
backscatter_intensity_6032tcp_a,1
backscatter_intensity_6322tcp_a,1
backscatter_intensity_7173advas_cal_z2,1
backscatter_intensity_7173advbs_cal_z2,1
backscatter_intensity_7173advbs_calq_z2,1
backscatter_intensity_7173advs_calq_z2,1
backscatter_intensity_7282advs_a_z1,1
backscatter_intensity_7282advs_a_z2,1
backscatter_intensity_7461advs_a_z1,1
backscatter_intensity_7482advs_a_z1,1
backscatter_intensity_7482advs_a_z2,1
backscatter_intensity_7674advs_cal_z1,1
backscatter_intensity_7752advs_cal_z2,1
backscatter_intensity_7776advs_cal_z1,1
backscatter_intensity_7864advs_cal_z2,1
backscatter_intensity_8164adv_1s_cal_z2,1
backscatter_intensity_8164adv_2s_cal_z2,1
backscatter_intensity_8424pcs_cal_z2,1
backscatter_intensity_8425advs_cal_z2,1
backscatter_intensity_8426advs_cal_z2,1
backscatter_intensity_8444pcs_cal_z2,1
backscatter_intensity_8446advs_cal_z1,1
backscatter_intensity_8447advs_cal_z2,1
backscatter_intensity_8473pcs_cal_z2,1
backscatter_intensity_8474advs_cal_z2,1
backscatter_intensity_8475advs_cal_z2,1
backscatter_intensity_8523advs_cal_z2,1
backscatter_intensity_8544pcs_cal_z2,1
backscatter_intensity_8545advs_cal_z1,1
backscatter_intensity_8545advs_calq_z1,1
backscatter_intensity_8575advs_cal_z2,1
backscatter_intensity_8576advs_cal_z2,1
backscatter_intensity_9104pcs_cal_z2,1
backscatter_intensity_9105advs_cal_z2,1
backscatter_intensity_9106advs_cal_z2,1
backscatter_intensity_9203pcs_cal_z2,1
backscatter_intensity_9205advs_cal_z2,1
backscatter_intensity_9206advs_cal_z1,1
backscatter_intensity_9233pcs_cal_z2,1
backscatter_intensity_9235advs_cal_z2,1
backscatter_intensity_9236advs_cal_z1,1
backscatter_intensity_9882pcs_cal_z2,1
backscatter_intensity_9885advs_cal_z1,1
backscatter_intensity_9916advs_cal_z2,1
backscatter_intensity_9917advs_cal_z2,1
battery_voltage,2703
battery_voltage_qc_agg,9
battery_voltage_qc_tests,9
bicarbonate_ion_hco3_,1
bicarbonate_ion_hco3_qc_agg,1
bicarbonate_ion_hco3_qc_tests,1
bioluminescence,1
bioluminescence_qc_agg,1
bioluminescence_qc_tests,1
blue_green_algae,10
blue_green_algae_qc_agg,10
blue_green_algae_qc_tests,10
carbon_dioxide_fugacity_difference_between_air_and_sea_water,3
carbonate_ion_co3_,1
carbonate_ion_co3_qc_agg,1
carbonate_ion_co3_qc_tests,1
cdom,18
cdom_qc_agg,12
cdom_qc_tests,12
cloud_cover,41
concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate,11
concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate_10195dexo_a,2
concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate_10195dexo_a_qc_agg,1
